competency_id,track,module,level,claim,evidence_required,readiness_gate,official_scope,nice_mapping,status
CEH-M01-L1,CEH,M01 Ethical Hacking Introduction,L1 recognition,Learner can select evidence-based interpretations of authorization scope methods time reporting evidence and stop/resume conditions.,Accepted M01 safety evidence from WP-2026-W36 or equivalent WP-2026-W37 evidence plus selected-response scope decisions under v0.2.0 and a mock ROE and authorized localhost exercise; WP-2026-W36 project status remains independent.,baseline_diagnostic_40;module_choice_posttest;preclass_form_b,UUU CEH13-AI module 01,pending,pilot
CEH-M02-L2,CEH,M02 Footprinting and Reconnaissance,L2 evidence interpretation,Learner can distinguish passive and active reconnaissance and identify defensive exposure reduction.,Accepted WP-2026-W37 evidence plus bounded reconnaissance scenario plus source provenance and posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 02,pending,pilot
CEH-M03-L2,CEH,M03 Scanning Networks,L2 evidence interpretation,Learner can interpret basic host port service version and OS discovery evidence.,Accepted WP-2026-W37 evidence plus authorized isolated scan or supplied-output scenario plus posttest.,baseline_diagnostic_40;module_choice_posttest;preclass_form_b,UUU CEH13-AI module 03,pending,pilot
CEH-M04-L2,CEH,M04 Enumeration,L2 evidence interpretation,Learner can select service-specific enumeration after authorized discovery and explain the boundary from scanning.,Accepted WP-2026-W37 evidence plus supplied-service scenario plus scope decision and posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 04,pending,pilot
CEH-M05-L2,CEH,M05 Vulnerability Analysis,L2 evidence interpretation,Learner can separate scanner output verified weakness exploitability impact and remediation priority.,Accepted WP-2026-W38 evidence plus finding-triage artifact plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 05,pending,pilot
CEH-M06-L2,CEH,M06 System Hacking,L2 evidence interpretation,Learner can select evidence-based interpretations of credential exploitation privilege persistence artifact and cleanup evidence under an authorized scope.,Accepted WP-2026-W38 evidence plus isolated scenario with minimum proof containment evidence and stop condition plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 06,pending,pilot
CEH-M07-L2,CEH,M07 Malware Threats,L2 evidence interpretation,Learner can distinguish malware families behavior analysis evidence containment and AI-related malware concepts.,Accepted WP-2026-W38 evidence plus benign static evidence analysis plus defensive decision and posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 07,pending,pilot
CEH-M08-L2,CEH,M08 Sniffing,L2 evidence interpretation,Learner can select evidence-based interpretations of packet capture local-network manipulation detection and countermeasures.,Accepted WP-2026-W38 evidence plus authorized packet-capture analysis plus evidence-boundary statement and posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 08,pending,pilot
CEH-M09-L2,CEH,M09 Social Engineering,L2 scenario judgment,Learner can select appropriate elements of a consent-based awareness assessment with participant protection measurement stop and reporting rules.,Accepted WP-2026-W39 evidence plus no-send assessment scenario plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 09,pending,pilot
CEH-M10-L2,CEH,M10 Denial-of-Service,L2 evidence interpretation,Learner can identify availability mechanisms evidence mitigation escalation and recovery.,Accepted WP-2026-W39 evidence plus synthetic traffic incident analysis with no live flooding plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 10,pending,pilot
CEH-M11-L2,CEH,M11 Session Hijacking,L2 evidence interpretation,Learner can identify session authentication authorization transport and replay weaknesses and controls.,Accepted WP-2026-W39 evidence plus toy session-flow review plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 11,pending,pilot
CEH-M12-L2,CEH,M12 Evading IDS Firewalls and Honeypots,L2 evidence interpretation,Learner can select evidence-based interpretations of detection gaps and select compensating telemetry and controls.,Accepted WP-2026-W39 evidence plus layered synthetic evidence comparison plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 12,pending,pilot
CEH-M13-L2,CEH,M13 Hacking Web Servers,L2 evidence interpretation,Learner can assess server exposure services configuration patching and logging evidence.,Accepted WP-2026-W40 evidence plus local configuration hardening review plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 13,pending,pilot
